Wavelength (nm),Sensitivity multiplier
200.7992067,0.00002
200.806105,0.00002
200.8130032,0.00002
200.8199004,0.00002
200.8267976,0.00002
200.8336938,0.00002
200.840591,0.00002
200.8474863,0.00002
200.8543825,0.00002
200.8612777,0.00002
200.8681719,0.00002
200.8750661,0.00002
200.8819603,0.00002
200.8888545,0.00002
200.8957478,0.00002
200.902641,0.00002
200.9095332,0.00002
200.9164254,0.00002
200.9233176,0.00002
200.9302088,0.00002
200.9371,0.00002
200.9439913,0.00002
200.9508815,0.00002
200.9577717,0.00002
200.9646609,0.00002
200.9715501,0.00002
200.9784393,0.00002
200.9853275,0.00002
200.9922157,0.00002
200.999104,0.00002
201.0059912,0.00002
201.0128784,0.00002
201.0197646,0.00002
201.0266508,0.00002
201.033537,0.00002
201.0404232,0.00002
201.0473084,0.00002
201.0541926,0.00002
201.0610778,0.00002
201.067961,0.00002
201.0748453,0.00002
201.0817285,0.00002
201.0886117,0.00002
201.0954939,0.00002
201.1023761,0.00002
201.1092583,0.00002
201.1161395,0.00002
201.1230207,0.00002
201.1299019,0.00002
201.1367821,0.00002
201.1436623,0.00002
201.1505415,0.00002
201.1574207,0.00002
201.1642999,0.00002
201.1711781,0.00002
201.1780563,0.00002
201.1849345,0.00002
201.1918117,0.00002
201.198689,0.00002
201.2055662,0.00002
201.2124424,0.00002
201.2193176,0.00002
201.2261938,0.00002
201.233069,0.00002
201.2399432,0.00002
201.2468184,0.00002
201.2536926,0.00002
201.2605658,0.00002
201.267439,0.00002
201.2743122,0.00002
201.2811854,0.00002
201.2880576,0.00002
201.2949288,0.00002
201.3018,0.00002
201.3086712,0.00002
201.3155424,0.00002
201.3224126,0.00002
201.3292828,0.00002
201.336152,0.00002
201.3430212,0.00002
201.3498904,0.00002
201.3567585,0.00002
201.3636267,0.00002
201.3704949,0.00002
201.3773621,0.00002
201.3842293,0.00002
201.3910965,0.00002
201.3979627,0.00002
201.4048279,0.00002
201.4116941,0.00002
201.4185593,0.00002
201.4254235,0.00002
201.4322887,0.00002
201.4391519,0.00002
201.4460161,0.00002
201.4528793,0.00002
201.4597425,0.00002
201.4666047,0.00002
201.4734669,0.00002
201.4803291,0.00002
201.4871902,0.00002
201.4940514,0.00002
201.5009126,0.00002
201.5077728,0.00002
201.514632,0.00002
201.5214922,0.00002
201.5283514,0.00002
201.5352106,0.00002
201.5420688,0.00002
201.548927,0.00002
201.5557842,0.00002
201.5626413,0.00002
201.5694985,0.00002
201.5763557,0.00002
201.5832119,0.00002
201.5900671,0.00002
201.5969233,0.00002
201.6037785,0.00002
201.6106327,0.00002
201.6174868,0.00002
201.624341,0.00002
201.6311952,0.00002
201.6380484,0.00002
201.6449006,0.00002
201.6517538,0.00002
201.658606,0.00002
201.6654571,0.00002
201.6723093,0.00002
201.6791595,0.00002
201.6860107,0.00002
201.6928609,0.00002
201.6997111,0.00002
201.7065603,0.00002
201.7134094,0.00002
201.7202586,0.00002
201.7271068,0.00002
201.733955,0.00002
201.7408022,0.00002
201.7476493,0.00002
201.7544965,0.00002
201.7613427,0.00002
201.7681889,0.00002
201.7750351,0.00002
201.7818803,0.00002
201.7887254,0.00002
201.7955706,0.00002
201.8024148,0.00002
201.809259,0.00002
201.8161022,0.00002
201.8229453,0.00002
201.8297885,0.00002
201.8366307,0.00002
201.8434729,0.00002
201.850314,0.00002
201.8571552,0.00002
201.8639964,0.00002
201.8708376,0.00002
201.8776778,0.00002
201.8845169,0.00002
201.8913571,0.00002
201.8981953,0.00002
201.9050345,0.00002
201.9118726,0.00002
201.9187108,0.00002
201.925548,0.00002
201.9323852,0.00002
201.9392223,0.00002
201.9460585,0.00002
201.9528947,0.00002
201.9597309,0.00002
201.966566,0.00002
201.9734012,0.00002
201.9802354,0.00002
201.9870696,0.00002
